,Adj Close,Close,High,Low,Open,Volume,SMA5,SMA50,SMA200,MACDLine,MACDSignal,MACDHist,RSI14,BBupper,BBlower,ROC12,PPO,MOM5,StochK,StochD,WillR,AccDist,PlusDI14,TR,SlowStochD,ChaikinOsc,ADX14,ATR14,^GSPC,^IXIC,^DJI,^VIX,CL=F,GC=F,SI=F,^TNX,DX-Y.NYB,FedFundsRate,y
2015-02-03,2050.030029296875,2050.030029296875,2050.300048828125,2022.7099609375,2022.7099609375,4615900000,2017.856005859375,2044.4278051757813,1976.3255493164063,-4.2889572658020825,-4.5162421994329485,0.227284933630866,53.47523948503823,2070.7285545795303,1984.8384742290639,2.878549086731627,0.015065148526591224,20.47998046875,82.57277625084751,46.423874085088094,-17.427223749152493,315183780853.5333,17.665599785466064,29.4500732421875,54.7105523447702,2321160112.316284,31.77530487121982,30.628583635602677,2050.030029296875,4727.740234375,17666.400390625,17.329999923706055,53.04999923706055,1259.699951171875,17.30500030517578,1.7799999713897705,93.5999984741211,0.12,2041.510009765625
2015-02-04,2041.510009765625,2041.510009765625,2054.739990234375,2036.719970703125,2048.860107421875,4141920000,2025.7260009765625,2044.2030053710937,1977.1736492919922,-2.93289330597986,-4.1995724207423315,1.2666791147624714,51.6838528911356,2071.3770772967932,1988.0799539532068,1.093876723990302,0.11158668970986857,39.3499755859375,72.3959844569029,67.56241175598599,-27.6040155430971,313243851651.5282,19.45274325738106,18.02001953125,55.733786030823445,2175987289.147888,27.986838374831375,29.44500732421875,2041.510009765625,4716.7001953125,17673.01953125,18.329999923706055,48.45000076293945,1263.800048828125,17.378999710083008,1.7970000505447388,93.98999786376953,0.11,2062.52001953125
2015-02-05,2062.52001953125,2062.52001953125,2063.550048828125,2043.449951171875,2043.449951171875,3821990000,2033.9800048828124,2044.1834057617189,1978.0884991455077,-0.1610145720408127,-3.391860851002028,3.230846278961215,55.63102718147588,2075.64779274792,1987.471238013799,1.976216644244912,0.3133654860331105,41.27001953125,97.49152492946554,84.15342854573863,-2.508475070534458,316674125975.347,21.27899844359574,22.0400390625,56.14223861665647,3010232301.871521,24.57539338221263,28.885009765625,2062.52001953125,4765.10009765625,17884.880859375,16.850000381469727,50.47999954223633,1262.0,17.18000030517578,1.815000057220459,94.69999694824219,0.12,2055.469970703125
2015-02-06,2055.469970703125,2055.469970703125,2072.39990234375,2049.969970703125,2062.280029296875,4232970000,2046.0760009765625,2043.9046069335936,1978.9888989257813,1.450123157115513,-2.42346404937852,3.873587206494033,54.03578713082791,2074.432410059469,1988.01962851475,1.1490451175148721,0.35154581227868004,60.47998046875,81.4973177848011,83.79494239038983,-18.50268221519891,314517072689.94214,24.05698634816828,22.429931640625,56.572425345311025,2391521734.27771,21.303520549375374,28.177150181361608,2055.469970703125,4744.39990234375,17824.2890625,17.290000915527344,51.689998626708984,1233.9000244140625,16.67799949645996,1.937999963760376,94.69999694824219,0.11,2046.739990234375
2015-02-09,2046.739990234375,2046.739990234375,2056.159912109375,2041.8800048828125,2053.469970703125,3549540000,2051.25400390625,2043.4988061523438,1979.8295489501952,1.999476233367659,-1.5388759928292841,3.538352226196943,52.04557836227113,2074.6650533943434,1987.9799783439382,-0.7953814742560997,0.2863314302351213,25.8900146484375,71.95634279524045,83.64839516983568,-28.043657204759548,313383614549.7313,22.487062727823677,14.2799072265625,56.464133205446004,1560356027.0788574,17.778106248163972,27.450718470982142,2046.739990234375,4726.009765625,17729.2109375,18.549999237060547,52.86000061035156,1240.800048828125,17.054000854492188,1.9479999542236328,94.44999694824219,0.12,2068.590087890625
2015-02-10,2068.590087890625,2068.590087890625,2070.860107421875,2048.6201171875,2049.3798828125,3669850000,2054.966015625,2043.4140063476561,1980.8554992675781,4.150122744509872,-0.4010762453614529,4.551198989871325,56.376337873188064,2079.7273148655163,1986.9507246852647,0.8173240816705347,0.3947621825796014,18.56005859375,95.83626280239125,83.09664112747758,-4.163737197608753,316304306740.85046,24.01227154547371,24.1201171875,57.08060158008008,2007794296.1192017,15.093819181420397,27.298583984375,2068.590087890625,4787.64013671875,17868.759765625,17.229999542236328,50.02000045776367,1231.5999755859375,16.85700035095215,1.9910000562667847,94.76000213623047,0.12,2068.530029296875
2015-02-11,2068.530029296875,2068.530029296875,2073.47998046875,2057.989990234375,2068.550048828125,3596860000,2060.37001953125,2043.4334057617189,1981.8509991455078,5.783016359783687,0.835742275667575,4.9472740841161125,56.3612710167931,2084.2804904398845,1986.947549110897,0.5561225283031095,0.42906094076792795,27.02001953125,94.65332304872662,87.48197621545278,-5.346676951273379,317602355559.86475,18.935516332246657,15.489990234375,58.8160736773858,2421326003.493042,14.444088793117459,25.673575265066965,2068.530029296875,4801.18017578125,17862.140625,16.959999084472656,48.84000015258789,1219.0,16.7450008392334,1.9880000352859497,94.98999786376953,0.12,2088.47998046875
2015-02-12,2088.47998046875,2088.47998046875,2088.530029296875,2069.97998046875,2069.97998046875,3788350000,2065.56201171875,2044.1342065429687,1982.9017492675782,8.587894740335514,2.386172768601163,6.201721971734351,60.16925872563226,2092.098568840991,1986.8504668035403,2.903595881986331,0.5677056891645272,25.9599609375,99.95349918623576,96.81436167911788,-0.046500813764240874,321370263297.98346,22.65687318198291,20.0,60.9818031535612,3569257254.684387,13.55259237428301,26.201442173549108,2088.47998046875,4857.60986328125,17972.380859375,15.34000015258789,51.209999084472656,1220.0999755859375,16.777999877929688,1.9859999418258667,94.08999633789062,0.12,2096.989990234375
2015-02-13,2096.989990234375,2096.989990234375,2097.030029296875,2086.699951171875,2088.780029296875,3527450000,2073.866015625,2044.7430053710937,1983.9669494628906,11.36644245864818,4.1822267066105665,7.1842157520376135,61.704389395215884,2098.4489793885596,1990.932050884878,4.7363824287672704,0.6700348754921488,41.52001953125,99.96552220716738,98.19078148070992,-0.03447779283261347,324870368724.34,25.411915209752618,10.330078125,64.03269146298094,4828057469.950256,14.147792939376773,25.750008719308035,2096.989990234375,4893.83984375,18019.349609375,14.6899995803833,52.779998779296875,1226.5,17.277999877929688,2.0209999084472656,94.19999694824219,0.12,2100.340087890625
2015-02-17,2100.340087890625,2100.340087890625,2101.300048828125,2089.800048828125,2096.469970703125,3361750000,2084.58603515625,2045.2632055664062,1985.050249633789,13.681079458865952,6.081997257061644,7.599082201804308,62.32006116494458,2106.516945329254,1990.9560893387147,3.9129295183982684,0.7086724771131048,53.60009765625,99.20269041291998,99.70723726877436,-0.7973095870800159,327670875475.3591,28.636277793211868,11.5,67.32698519067375,5795177208.796936,16.2277543604679,23.915719168526785,2100.340087890625,4899.27001953125,18047.580078125,15.800000190734863,53.529998779296875,1208.0999755859375,16.36199951171875,2.1449999809265137,94.05999755859375,0.12,2099.679931640625
2015-02-18,2099.679931640625,2099.679931640625,2100.22998046875,2092.14990234375,2099.159912109375,3370020000,2090.80400390625,2045.8184057617189,1986.14294921875,15.285969721613583,7.922791749972032,7.363177971641551,62.10816509770501,2113.2391711031496,1991.9468518460692,5.247642440248577,0.6814002098511094,31.08984375,98.6543879908792,99.27420020365552,-1.3456120091208,330582069329.60126,31.747268062155122,8.190185546875,70.09201760816867,6590271763.875183,18.933210541961127,21.572160993303573,2099.679931640625,4906.35986328125,18029.849609375,15.449999809265137,52.13999938964844,1199.699951171875,16.25,2.065999984741211,94.19999694824219,0.12,2097.449951171875
2015-02-19,2097.449951171875,2097.449951171875,2102.1298828125,2090.7900390625,2099.25,3247100000,2096.58798828125,2046.2600024414062,1987.2068988037108,16.19127311262264,9.576488022502154,6.614785090120485,61.34933613872524,2118.8547383387267,1992.8642802159611,3.7904830398767055,0.6087906496759988,28.919921875,96.13962129259954,97.99889989879955,-3.860378707400452,331149025517.16583,35.18653392348525,11.33984375,72.94684342698078,6496817253.916382,20.633897750320166,19.849295479910715,2097.449951171875,4924.7001953125,17985.76953125,15.289999961853027,51.15999984741211,1207.0999755859375,16.371000289916992,2.11299991607666,94.4000015258789,0.12,2110.300048828125
2015-02-20,2110.300048828125,2110.300048828125,2110.610107421875,2085.43994140625,2097.64990234375,3281600000,2100.952001953125,2047.2598022460938,1988.4197991943358,17.741119478583187,11.20941431371836,6.531705164864826,64.07330720495273,2125.72820148572,1990.7058317174053,2.939957886954543,0.6249318096914868,21.820068359375,99.76096029964661,98.18498986104179,-0.23903970035338348,334349776763.0799,38.90597219453634,25.170166015625,75.7950573670875,6886386964.095276,22.478746470019207,19.508597237723215,2110.300048828125,4955.97021484375,18140.439453125,14.300000190734863,50.34000015258789,1204.4000244140625,16.26300048828125,2.132999897003174,94.25,0.12,2109.659912109375
2015-02-23,2109.659912109375,2109.659912109375,2110.050048828125,2103.0,2109.830078125,3093680000,2103.485986328125,2048.2565991210936,1989.5770489501954,18.702143537271695,12.707960158429028,5.994183378842667,63.83196418905739,2132.320389571338,1989.897628006787,3.3382105411069687,0.5908438875361512,12.669921875,98.9190059965726,98.27319586293957,-1.0809940034274066,337101059655.3471,44.337792836339666,7.300048828125,78.80825346278607,7295129405.426636,25.715742826584396,17.118600027901785,2109.659912109375,4960.97021484375,18116.83984375,14.5600004196167,49.45000076293945,1200.300048828125,16.246999740600586,2.059000015258789,94.56999969482422,0.11,2115.47998046875
2015-02-24,2115.47998046875,2115.47998046875,2117.93994140625,2105.8701171875,2109.10009765625,3199840000,2106.51396484375,2050.0433984375,1990.776298828125,19.706231731154276,14.107614472974078,5.598617258180198,65.11841685636395,2139.2224567510207,1988.834550084917,2.5677307582951965,0.5780662970995929,15.139892578125,96.9712363644015,98.55040088687356,-3.0287636355984935,338996575538.6757,38.469476127164356,12.06982421875,82.65333061994319,7402267330.173462,30.745229260080528,15.877153669084821,2115.47998046875,4968.1201171875,18209.189453125,13.6899995803833,49.279998779296875,1196.9000244140625,16.18199920654297,1.9880000352859497,94.48999786376953,0.11,2113.860107421875
2015-02-25,2113.860107421875,2113.860107421875,2119.590087890625,2109.889892578125,2115.300048828125,3312340000,2109.35,2051.6140014648436,1991.9531994628906,20.139117432238436,15.31391506482695,4.825202367411485,64.43149916584072,2144.7411835401526,1991.7468291551593,2.84071952161754,0.5241815802572118,14.18017578125,92.62646461441311,96.17223565846238,-7.373535385586891,338395665775.26086,38.6614733423743,9.7001953125,85.87719098120968,6581964526.46759,36.47925768666288,15.282880510602679,2113.860107421875,4967.14013671875,18224.5703125,13.84000015258789,50.9900016784668,1201.0,16.423999786376953,1.968999981880188,94.20999908447266,0.11,2110.739990234375
